ID,NAME,Tennis Court Area,Park Name,ADDRESS,DISTRICT,WARD,Primary Permitting Status,Asset category,LIGHTS,Surface material,GIS Coordinate
3145,HERON PARK - Outdoor Tennis Court (  2),HERON PARK - Tennis Court Area,HERON PARK,292  MANSE RD,Scarborough,44,Club,Outdoor Tennis Court,Yes,Coated,"(-79.1781287,43.76869324)"
3146,HERON PARK - Outdoor Tennis Court (  3),HERON PARK - Tennis Court Area,HERON PARK,292  MANSE RD,Scarborough,44,Club,Outdoor Tennis Court,Yes,Coated,"(-79.17844403,43.76896506)"
3147,HERON PARK - Outdoor Tennis Court (  4),HERON PARK - Tennis Court Area,HERON PARK,292  MANSE RD,Scarborough,44,Club,Outdoor Tennis Court,Yes,Coated,"(-79.17826701,43.76900594)"
3148,HERON PARK - Outdoor Tennis Court (  5),HERON PARK - Tennis Court Area,HERON PARK,292  MANSE RD,Scarborough,44,Club,Outdoor Tennis Court,Yes,Coated,"(-79.1780863,43.76904681)"
29454,HERON PARK TENNIS CLUBHOUSE,,HERON PARK,292  MANSE RD,Scarborough,44,Club,Clubhouse,,,"(-79.17788151,43.76916026)"
3134,HIGH PARK - Outdoor Tennis Court (  1),HIGH PARK - Tennis Court Area (  1),HIGH PARK,1873 BLOOR ST W,Etobicoke York,13,Club,Outdoor Tennis Court,Yes,Coated,"(-79.45912098,43.65052748)"
3137,HIGH PARK - Outdoor Tennis Court (  1),HIGH PARK - Tennis Court Area (  2),HIGH PARK,1873 BLOOR ST W,Etobicoke York,13,Club,Outdoor Tennis Court,Yes,Coated,"(-79.45989398,43.65085718)"
3139,HIGH PARK - Outdoor Tennis Court (  1),HIGH PARK - Tennis Court Area (  3),HIGH PARK,1873 BLOOR ST W,Etobicoke York,13,Club,Outdoor Tennis Court,Yes,Coated,"(-79.45952418,43.65159082)"
3132,HIGH PARK - Outdoor Tennis Court (  1),HIGH PARK - Tennis Court Area (  4),HIGH PARK,1873 BLOOR ST W,Etobicoke York,13,Public,Outdoor Tennis Court,No,Coated,"(-79.46444305,43.65062803)"
17383,HIGH PARK - Outdoor Tennis Court (  1),,HIGH PARK,1873 BLOOR ST W,Etobicoke York,13,Public,Outdoor Tennis Court,Yes,Concrete,"(-79.4655711,43.64990844)"
3135,HIGH PARK - Outdoor Tennis Court (  2),HIGH PARK - Tennis Court Area (  1),HIGH PARK,1873 BLOOR ST W,Etobicoke York,13,Club,Outdoor Tennis Court,Yes,Coated,"(-79.45920169,43.65063237)"
3133,HIGH PARK - Outdoor Tennis Court (  2),HIGH PARK - Tennis Court Area (  2),HIGH PARK,1873 BLOOR ST W,Etobicoke York,13,Club,Outdoor Tennis Court,Yes,Coated,"(-79.45962547,43.65074445)"
3140,HIGH PARK - Outdoor Tennis Court (  2),HIGH PARK - Tennis Court Area (  3),HIGH PARK,1873 BLOOR ST W,Etobicoke York,13,Club,Outdoor Tennis Court,Yes,Coated,"(-79.45936505,43.65162632)"
3136,HIGH PARK - Outdoor Tennis Court (  2),HIGH PARK - Tennis Court Area (  4),HIGH PARK,1873 BLOOR ST W,Etobicoke York,13,Public,Outdoor Tennis Court,No,Coated,"(-79.46427629,43.65062464)"
17384,HIGH PARK - Outdoor Tennis Court (  2),,HIGH PARK,1873 BLOOR ST W,Etobicoke York,13,Public,Outdoor Tennis Court,Yes,Concrete,"(-79.46533762,43.64979837)"
3141,HIGH PARK - Outdoor Tennis Court (  3),HIGH PARK - Tennis Court Area (  2),HIGH PARK,1873 BLOOR ST W,Etobicoke York,13,Club,Outdoor Tennis Court,Yes,Coated,"(-79.4597674,43.65080404)"
3138,HIGH PARK - Outdoor Tennis Court (  3),HIGH PARK - Tennis Court Area (  4),HIGH PARK,1873 BLOOR ST W,Etobicoke York,13,Public,Outdoor Tennis Court,No,Coated,"(-79.46410494,43.65061904)"
17385,HIGH PARK - Outdoor Tennis Court (  3),,HIGH PARK,1873 BLOOR ST W,Etobicoke York,13,Public,Outdoor Tennis Court,Yes,Asphalt,"(-79.46531587,43.64996623)"
17386,HIGH PARK - Outdoor Tennis Court (  4),,HIGH PARK,1873 BLOOR ST W,Etobicoke York,13,Public,Outdoor Tennis Court,Yes,Asphalt,"(-79.46506191,43.64988604)"
29477,HIGH PARK HOWARD PARK TENNIS CLUBHOUSE - BUILDING 56,,HIGH PARK,430 PARKSIDE DR,Etobicoke York,13,Club,Clubhouse,,,"(-79.45947835,43.65045818)"
3124,HILLCREST PARK - Outdoor Tennis Court (  1),HILLCREST PARK - Tennis Court Area,HILLCREST PARK,950 DAVENPORT RD,Toronto East York,21,Club,Outdoor Tennis Court,Yes,Coated,"(-79.42386171,43.67600872)"
3125,HILLCREST PARK - Outdoor Tennis Court (  2),HILLCREST PARK - Tennis Court Area,HILLCREST PARK,950 DAVENPORT RD,Toronto East York,21,Club,Outdoor Tennis Court,Yes,Coated,"(-79.42434907,43.67591044)"
3126,HILLCREST PARK - Outdoor Tennis Court (  3),HILLCREST PARK - Tennis Court Area,HILLCREST PARK,950 DAVENPORT RD,Toronto East York,21,Club,Outdoor Tennis Court,Yes,Coated,"(-79.42418514,43.67594249)"
3127,HILLCREST PARK - Outdoor Tennis Court (  4),HILLCREST PARK - Tennis Court Area,HILLCREST PARK,950 DAVENPORT RD,Toronto East York,21,Club,Outdoor Tennis Court,Yes,Coated,"(-79.42402269,43.67597667)"
