Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/locations/parks/?name=CUMMER%20PARK,1,0,1155.026630000009,1155.026630000009,1155.026630000009,1155.026630000009,1882.0,0.016613237958658936,0.0,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
GET,/api/locations/parks/?name=DENNIS%20FLYNN%20PARK,2,0,5.288989999996829,6.519109500004561,5.288989999996829,7.749229000012292,1351.0,0.03322647591731787,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/api/locations/parks/?name=DOVERCOURT%20PARK,6,0,4,184.0727818333363,3.5266390000003867,1079.7549990000164,982.0,0.09967942775195363,0.0,5,5,8,8,1100,1100,1100,1100,1100,1100,1100
GET,/api/locations/parks/?name=DUNLACE%20PARK,4,0,54,325.5924254999982,3.8970039999810524,1110.630609000026,1828.0,0.06645295183463575,0.0,130,130,1100,1100,1100,1100,1100,1100,1100,1100,1100
GET,/api/locations/parks/?name=EARLSCOURT%20PARK,4,0,600.0,609.672477249994,112.68718299999136,1126.081524,486.0,0.06645295183463575,0.0,600,600,1100,1100,1100,1100,1100,1100,1100,1100,1100
GET,/api/locations/parks/?name=EAST%20MALL%20PARK,4,0,7,280.41282524999644,3.609184999987747,1044.8747719999858,1460.0,0.06645295183463575,0.0,66,66,1000,1000,1000,1000,1000,1000,1000,1000,1000
GET,/api/locations/parks/?name=EGLINTON%20FLATS,2,0,71.4272999999821,103.25819899999544,71.4272999999821,135.0890980000088,6278.0,0.03322647591731787,0.0,140,140,140,140,140,140,140,140,140,140,140
GET,/api/locations/parks/?name=EGLINTON%20PARK,3,0,30,280.16429800000725,17.421780000006493,793.0320020000181,962.0,0.04983971387597681,0.0,30,30,790,790,790,790,790,790,790,790,790
GET,/api/locations/parks/?name=ELIZABETH%20SIMCOE%20PARK,7,0,81,217.83734028571595,4.240411999973048,740.6332070000019,1994.0,0.11629266571061256,0.0,81,270,360,360,740,740,740,740,740,740,740
GET,/api/locations/parks/?name=FAIRMOUNT%20PARK,1,0,414.84674699998436,414.84674699998436,414.84674699998436,414.84674699998436,2442.0,0.016613237958658936,0.0,410,410,410,410,410,410,410,410,410,410,410
